,batch_id,mae_train,rmse_train,mae_test,rmse_test
0,0,13.39267744140625,24.238510496682213,22.652253234863277,29.717459424034132
1,1,14.050814483642577,24.60920015905931,31.780495819091794,38.649168827675354
2,2,15.137163543701172,24.640821789620844,6.492042083740234,8.373212494067271
3,3,9.349541748046875,13.997975357631223,6.237693298339845,8.924927366710541
4,4,5.890233984375001,8.190571762492935,13.213529113769528,19.392910355511873
5,5,5.346287841796875,7.505422249884445,8.34720849609375,11.269502560537767
6,6,4.836912823486329,6.761919170030212,109.66941845703126,150.72790824982096
7,7,4.91323451538086,7.1649842300224,29.906651367187497,37.99628284638773
8,8,5.723564361572266,8.761567871314936,152.95647277832032,193.017041570433
9,9,7.665747735595703,12.299379604149896,245.45183435058595,307.7173493373974
10,10,11.189372534179688,18.203942695245114,975.5532021484374,1130.0912885608268
11,11,22.349431750488286,38.9500284275095,1376.6493593750001,1932.7682147935707
12,12,46.1385826904297,83.04443496905243,3770.5330273437494,4665.416672318559
13,13,127.05102397460942,245.0989128851899,474.6734189453125,578.4833281900139
14,14,169.52611860351564,277.01869499564674,189.68634179687498,253.58993599465214
15,15,194.96682646484376,289.7756587030084,396.2855668945312,543.7318435872473
16,16,200.86247705078125,291.8720686253808,117.7411083984375,169.18157997294858
17,17,179.13928623046874,278.72808873477334,779.100048828125,941.2242514951273
18,18,134.44579023437498,199.1051607112929,293.59705371093753,424.79292529170226
19,19,129.01493876953123,194.43661827937444,206.67494726562495,270.7820681181793
20,20,131.8491822265625,199.31728669702207,277.3882646484375,454.1558771185428
21,21,156.6632193359375,245.65334966659495,272.83856835937496,365.79108154216294
22,22,177.8858466796875,259.3661803187521,2350.0418496093753,3591.601600746542
23,23,181.27291113281248,260.6110723242133,18610.1458203125,21922.527924281345
24,24,274.7094794921875,460.88865442188876,6958.91159375,7724.470757345781
25,25,542.8315089843751,946.7628395043856,1394.7773269489244,1791.1129695570582
